Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
270,Exit short,2026-05-22 15:15,EOD Square-off,23722.9,1,23739.3,16.4,0.07,40.35,0.17,-13.2,-0.06,701.7,0.07
270,Entry short,2026-05-22 14:27,Short,23739.3,1,23739.3,16.4,0.07,40.35,0.17,-13.2,-0.06,701.7,0.07
271,Exit short,2026-05-26 14:36,S-Exit,23906.6,1,23981.6,75,0.31,75,0.31,-20.4,-0.09,776.7,0.08
271,Entry short,2026-05-26 12:48,Short,23981.6,1,23981.6,75,0.31,75,0.31,-20.4,-0.09,776.7,0.08
272,Exit short,2026-05-27 15:15,EOD Square-off,23914.45,1,23919,4.55,0.02,60.75,0.25,-21.85,-0.09,781.25,0.08
272,Entry short,2026-05-27 12:00,Short,23919,1,23919,4.55,0.02,60.75,0.25,-21.85,-0.09,781.25,0.08
273,Exit short,2026-05-29 10:03,S-Exit,23925.75,1,23875.75,-50,-0.21,4.65,0.02,-50,-0.21,731.25,0.07
273,Entry short,2026-05-29 09:42,Short,23875.75,1,23875.75,-50,-0.21,4.65,0.02,-50,-0.21,731.25,0.07
274,Exit long,2026-05-29 10:45,L-Exit,23897.5,1,23947.5,-50,-0.21,4.4,0.02,-50,-0.21,681.25,0.07
274,Entry long,2026-05-29 10:06,Long,23947.5,1,23947.5,-50,-0.21,4.4,0.02,-50,-0.21,681.25,0.07
275,Exit short,2026-05-29 12:15,S-Exit,23816.85,1,23891.85,75,0.31,75,0.31,-22.15,-0.09,756.25,0.08
275,Entry short,2026-05-29 10:45,Short,23891.85,1,23891.85,75,0.31,75,0.31,-22.15,-0.09,756.25,0.08
276,Exit long,2026-06-02 13:30,L-Exit,23504.35,1,23429.35,75,0.32,75,0.32,-10.1,-0.04,831.25,0.08
