symbol,company_name,market_cap_cr
SIGNATURE,SignatureGlobal India Ltd,10025
,Maple Infrastructure Trust,10022
AFCONS,Afcons Infrastructure Ltd,9963
SANOFICONR,Sanofi Consumer Healthcare India Ltd,9889
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,9817
APTUS,Aptus Value Housing Finance India Ltd,9752
GRAVITA,Gravita India Ltd,9734
NSLNISP,NMDC Steel Ltd,9727
BLS,BLS International Services Ltd,9703
HONASA,Honasa Consumer Ltd,9701
JPPOWER,Jaiprakash Power Ventures Ltd,9615
AZAD,Azad Engineering Ltd,9583
SHAILY,Shaily Engineering Plastics Ltd,9580
PCBL,PCBL Chemical Ltd,9532
CORONA,Corona Remedies Ltd,9517
EDELWEISS,Edelweiss Financial Services Ltd,9442
HOMEFIRST,Home First Finance Company India Ltd,9418
SWANCORP,Swan Corp Ltd,9404
BSOFT,Birlasoft Ltd,9294
FINPIPE,Finolex Industries Ltd,9261
ATLANTAELE,Atlanta Electricals Ltd,9252
BBTC,The Bombay Burmah Trading Corporation Ltd,9215
TMB,Tamilnad Mercantile Bank Ltd,9189
MGL,Mahanagar Gas Ltd,9157
PVRINOX,PVR Inox Ltd,9022
PRUDENT,Prudent Corporate Advisory Services Ltd,9009
CLEANMAX,Clean Max Enviro Energy Solutions Ltd,9000
METROPOLIS,Metropolis Healthcare Ltd,8993
SOUTHBANK,South Indian Bank Ltd,8952
ACE,Action Construction Equipment Ltd,8919
ARVIND,Arvind Ltd,8895
VIJAYA,Vijaya Diagnostic Centre Ltd,8864
VESUVIUS,Vesuvius India Ltd,8814
VOLTAMP,Voltamp Transformers Ltd,8787
CEMPRO,Cemindia Projects Ltd,8771
ASKAUTOLTD,ASK Automotive Ltd,8754
JUBLINGREA,Jubilant Ingrevia Ltd,8659
STAR,Strides Pharma Science Ltd,8644
STLTECH,Sterlite Technologies Ltd,8613
NAZARA,Nazara Technologies Ltd,8608
CELLO,Cello World Ltd,8570
EUREKAFORB,Eureka Forbes Ltd,8513
RKFORGE,Ramkrishna Forgings Ltd,8483
RITES,Rites Ltd,8439
KTKBANK,Karnataka Bank Ltd,8435
RPOWER,Reliance Power Ltd,8420
SWANDEF,Swan Defence and Heavy Industries Ltd,8393
CYIENT,Cyient Ltd,8366
INTELLECT,Intellect Design Arena Ltd,8362
SANDUMA,Sandur Manganese & Iron Ores Ltd,8349
JLHL,Jupiter Life Line Hospitals Ltd,8345
TRIVENI,Triveni Engineering and Industries Ltd,8291
STARCEMENT,Star Cement Ltd,8225
NCC,NCC Ltd,8219
PGINVIT,Powergrid Infrastructure Investment Trust,8210
PARKHOSPS,Park Medi World Ltd,8192
WAAREERTL,Waaree Renewable Technologies Ltd,8163
INDIASHLTR,India Shelter Finance Corporation Ltd,8132
AEQUS,Aequs Ltd,8115
ASTRAMICRO,Astra Microwave Products Ltd,8070
ORKLAINDIA,Orkla India Ltd,8010
VIYASH,Viyash Scientific Ltd,8003
PGHL,Procter & Gamble Health Ltd,7965
ELECON,Elecon Engineering Company Ltd,7961
LEMONTREE,Lemon Tree Hotels Ltd,7958
OLECTRA,Olectra Greentech Ltd,7932
BBOX,Black Box Ltd,7930
CARTRADE,Cartrade Tech Ltd,7900
GRWRHITECH,Garware Hi Tech Films Ltd,7860
SHARDACROP,Sharda Cropchem Ltd,7846
HCG,Healthcare Global Enterprises Ltd,7834
MMTC,MMTC Ltd,7826
TIMETECHNO,Time Technoplast Ltd,7809
BATAINDIA,Bata India Ltd,7808
KAMAHOLD,Kama Holdings Ltd,7736
GRINFRA,G R Infraprojects Ltd,7733
TITAGARH,Titagarh Rail Systems Ltd,7731
IXIGO,Le Travenues Technology Ltd,7644
TARIL,Transformers & Rectifiers India Ltd,7639
ESABINDIA,Esab India Ltd,7627
IIFLCAPS,IIFL Capital Services Ltd,7596
WESTLIFE,Westlife Foodworld Ltd,7541
MAHSEAMLES,Maharashtra Seamless Ltd,7504
TSFINV,Tsf Investments Ltd,7499
AKUMS,Akums Drugs & Pharmaceuticals Ltd,7335
ACI,Archean Chemical Industries Ltd,7244
BANCOINDIA,Banco Products (India) Ltd,7217
WABAG,Va Tech Wabag Ltd,7215
